"Date Printed: Sunday, March 16, 2025 10:32:39 PM"
Title: "AIDS deaths | AIDS prevalence | HIV Stigma | HIV deaths | HIV diagnoses | HIV prevalence | Linkage to HIV care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | Unstable Housing or Homelessness | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Deaths in 2020 and beyond should be interpreted considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   Weighted percentages for unstable housing or homelessness and median HIV stigma scores are reported in the ‘Rate per 100͵000’ column with corresponding 95% confidence intervals reported in the ‘Rate LCI’ and ‘Rate UCI’ columns within the Charts and Maps tools or in parentheses within the ‘Rate per 100͵000’ column within the Tables tool.
   To allow for comparison with other HIV indicators͵ data are presented for persons aged ≥13 years and aged 13-24 years. However͵ these estimates are representative of persons with diagnosed HIV aged ≥18 years and 18-24 years͵ respectively. 
   For unstable housing or homelessness͵ estimates with a coefficient of variation ≥0.30 or those based on a denominator sample size less than 30 were suppressed. For HIV stigma͵ estimates based on a denominator sample size less than 30 were suppressed.
   See Technical Notes for more details on data availability͵ stratifications͵ and variable definitions.
   * Estimates with an absolute CI width ≥30͵ estimates with an absolute CI width between 5 and 30 and a relative CI width greater than 130%͵ and estimates of 0% or 100% should be interpreted with caution.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000 (95% CI),Percent
"PrEP coverage and number of persons prescribed","2018","Hawaii","15","683","NA","15.7"
"Unstable Housing or Homelessness","2018","Hawaii","15","Data not available","Data not available","NA"
"HIV prevalence","2018","Idaho","16","1,166","81.2","NA"
"AIDS deaths","2018","Idaho","16","13","0.9","NA"
"AIDS prevalence","2018","Idaho","16","568","39.6","NA"
"HIV Stigma","2018","Idaho","16","Data not available","Data not available","NA"
"HIV deaths","2018","Idaho","16","16","1.1","NA"
"HIV diagnoses","2018","Idaho","16","36","2.5","NA"
"Linkage to HIV care","2018","Idaho","16","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2018","Idaho","16","368","NA","7.7"
"Receipt of HIV medical care","2018","Idaho","16","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2018","Idaho","16","Data not available","Data not available","NA"
"Receipt of HIV medical care","2018","Illinois","17","25,132","NA","72.9"
"PrEP coverage and number of persons prescribed","2018","Illinois","17","13,884","NA","24.9"
"Linkage to HIV care","2018","Illinois","17","1,086","NA","79.8"
"HIV prevalence","2018","Illinois","17","35,393","330.8","NA"
"HIV diagnoses","2018","Illinois","17","1,375","12.9","NA"
"AIDS prevalence","2018","Illinois","17","17,525","163.8","NA"
"AIDS deaths","2018","Illinois","17","429","4.0","NA"
"HIV Stigma","2018","Illinois","17","No Suppression","33.9 (29.8 - 37.9)","NA"
"HIV deaths","2018","Illinois","17","560","5.2","NA"
"Unstable Housing or Homelessness","2018","Illinois","17","No Suppression","28.1 (20.8 - 35.4)","NA"
"Receipt of HIV medical care","2018","Indiana","18","8,452","NA","76.9"
"PrEP coverage and number of persons prescribed","2018","Indiana","18","2,202","NA","9.9"
"HIV prevalence","2018","Indiana","18","11,317","202.9","NA"
"AIDS prevalence","2018","Indiana","18","5,589","100.2","NA"
"AIDS deaths","2018","Indiana","18","145","2.6","NA"
"HIV Stigma","2018","Indiana","18","No Suppression","33.3 (27.3 - 39.3)","NA"
"HIV deaths","2018","Indiana","18","196","3.5","NA"
"HIV diagnoses","2018","Indiana","18","515","9.2","NA"
"Linkage to HIV care","2018","Indiana","18","350","NA","68.4"
"Unstable Housing or Homelessness","2018","Indiana","18","No Suppression","30.8 (23.3 - 38.3)","NA"
"Receipt of HIV medical care","2018","Iowa","19","2,341","NA","87.4"
"PrEP coverage and number of persons prescribed","2018","Iowa","19","1,143","NA","24.0"
"HIV prevalence","2018","Iowa","19","2,766","105.4","NA"
"AIDS prevalence","2018","Iowa","19","1,497","57.0","NA"
"Receipt of HIV medical care","2019","Iowa","19","2,452","NA","88.0"
"PrEP coverage and number of persons prescribed","2019","Iowa","19","1,409","NA","29.6"
"HIV prevalence","2019","Iowa","19","2,861","108.5","NA"
"AIDS prevalence","2019","Iowa","19","1,490","56.5","NA"
"AIDS deaths","2019","Iowa","19","45","1.7","NA"
"HIV Stigma","2019","Iowa","19","Data not available","Data not available","NA"
"HIV deaths","2019","Iowa","19","61","2.3","NA"
"HIV diagnoses","2019","Iowa","19","100","3.8","NA"
"Linkage to HIV care","2019","Iowa","19","91","NA","91.0"
"Unstable Housing or Homelessness","2019","Iowa","19","Data not available","Data not available","NA"
"HIV prevalence","2019","Kansas","20","3,131","129.9","NA"
"AIDS prevalence","2019","Kansas","20","1,567","65.0","NA"
"AIDS deaths","2019","Kansas","20","42","1.7","NA"
"HIV Stigma","2019","Kansas","20","Data not available","Data not available","NA"
"HIV deaths","2019","Kansas","20","57","2.4","NA"
"HIV diagnoses","2019","Kansas","20","132","5.5","NA"
"Linkage to HIV care","2019","Kansas","20","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2019","Kansas","20","900","NA","17.8"
"Receipt of HIV medical care","2019","Kansas","20","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2019","Kansas","20","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Kentucky","21","1,610","NA","12.4"
"HIV prevalence","2019","Kentucky","21","7,459","198.8","NA"
"AIDS prevalence","2019","Kentucky","21","3,524","93.9","NA"
"AIDS deaths","2019","Kentucky","21","85","2.3","NA"
"HIV Stigma","2019","Kentucky","21","Data not available","Data not available","NA"
"HIV deaths","2019","Kentucky","21","110","2.9","NA"
"HIV diagnoses","2019","Kentucky","21","325","8.7","NA"
"Linkage to HIV care","2019","Kentucky","21","Data not available","NA","Data not available"
"Receipt of HIV medical care","2019","Kentucky","21","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2019","Kentucky","21","Data not available","Data not available","NA"
"AIDS deaths","2018","Iowa","19","37","1.4","NA"
"HIV Stigma","2018","Iowa","19","Data not available","Data not available","NA"
"HIV deaths","2018","Iowa","19","50","1.9","NA"
"HIV diagnoses","2018","Iowa","19","115","4.4","NA"
"Linkage to HIV care","2018","Iowa","19","107","NA","93.0"
"Unstable Housing or Homelessness","2018","Iowa","19","Data not available","Data not available","NA"
"HIV prevalence","2018","Kansas","20","3,067","127.5","NA"
"AIDS prevalence","2018","Kansas","20","1,571","65.3","NA"
"AIDS deaths","2018","Kansas","20","40","1.7","NA"
"HIV Stigma","2018","Kansas","20","Data not available","Data not available","NA"
"HIV deaths","2018","Kansas","20","51","2.1","NA"
"HIV diagnoses","2018","Kansas","20","154","6.4","NA"
"Linkage to HIV care","2018","Kansas","20","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2018","Kansas","20","725","NA","14.3"
"Receipt of HIV medical care","2018","Kansas","20","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2018","Kansas","20","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","Kentucky","21","1,219","NA","9.4"
"HIV prevalence","2018","Kentucky","21","7,161","191.4","NA"
"AIDS prevalence","2018","Kentucky","21","3,441","92.0","NA"
"AIDS deaths","2018","Kentucky","21","101","2.7","NA"
"HIV Stigma","2018","Kentucky","21","Data not available","Data not available","NA"
"HIV deaths","2018","Kentucky","21","136","3.6","NA"
"HIV diagnoses","2018","Kentucky","21","377","10.1","NA"
"Linkage to HIV care","2018","Kentucky","21","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","Kentucky","21","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2018","Kentucky","21","Data not available","Data not available","NA"
"Receipt of HIV medical care","2018","Louisiana","22","15,619","NA","78.3"
"PrEP coverage and number of persons prescribed","2018","Louisiana","22","3,311","NA","20.8"
"HIV prevalence","2018","Louisiana","22","20,583","532.3","NA"
"AIDS prevalence","2018","Louisiana","22","10,486","271.2","NA"
"Receipt of HIV medical care","2019","Louisiana","22","16,185","NA","79.2"
"PrEP coverage and number of persons prescribed","2019","Louisiana","22","3,912","NA","24.6"
"HIV prevalence","2019","Louisiana","22","21,053","544.3","NA"
"AIDS prevalence","2019","Louisiana","22","10,626","274.7","NA"
"AIDS deaths","2019","Louisiana","22","297","7.7","NA"
"HIV Stigma","2019","Louisiana","22","Data not available","Data not available","NA"
"HIV deaths","2019","Louisiana","22","377","9.7","NA"
"HIV diagnoses","2019","Louisiana","22","877","22.7","NA"
"Linkage to HIV care","2019","Louisiana","22","722","NA","82.0"
"Unstable Housing or Homelessness","2019","Louisiana","22","Data not available","Data not available","NA"
"AIDS deaths","2018","Louisiana","22","329","8.5","NA"
"HIV Stigma","2018","Louisiana","22","Data not available","Data not available","NA"
"HIV deaths","2018","Louisiana","22","428","11.1","NA"
"HIV diagnoses","2018","Louisiana","22","949","24.5","NA"
"Linkage to HIV care","2018","Louisiana","22","767","NA","78.9"
"Unstable Housing or Homelessness","2018","Louisiana","22","Data not available","Data not available","NA"
"Receipt of HIV medical care","2018","Maine","23","1,320","NA","84.6"
"HIV prevalence","2018","Maine","23","1,605","137.8","NA"
"Receipt of HIV medical care","2019","Maine","23","1,368","NA","84.8"
"HIV prevalence","2019","Maine","23","1,641","140.1","NA"
"AIDS deaths","2019","Maine","23","32","2.7","NA"
"AIDS prevalence","2019","Maine","23","807","68.9","NA"
"HIV Stigma","2019","Maine","23","Data not available","Data not available","NA"
"HIV deaths","2019","Maine","23","41","3.5","NA"
"HIV diagnoses","2019","Maine","23","30","2.6","NA"
"Linkage to HIV care","2019","Maine","23","28","NA","93.3"
"PrEP coverage and number of persons prescribed","2019","Maine","23","649","NA","16.4"
"Unstable Housing or Homelessness","2019","Maine","23","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Maryland","24","23,932","NA","73.7"
"PrEP coverage and number of persons prescribed","2019","Maryland","24","4,935","NA","18.1"
"HIV prevalence","2019","Maryland","24","33,269","653.3","NA"
"AIDS prevalence","2019","Maryland","24","17,364","341.0","NA"
"AIDS deaths","2019","Maryland","24","459","9.0","NA"
"HIV Stigma","2019","Maryland","24","Data not available","Data not available","NA"
"HIV deaths","2019","Maryland","24","615","12.1","NA"
"HIV diagnoses","2019","Maryland","24","913","17.9","NA"
"Linkage to HIV care","2019","Maryland","24","798","NA","86.9"
"Unstable Housing or Homelessness","2019","Maryland","24","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Massachusetts","25","16,162","NA","78.8"
"PrEP coverage and number of persons prescribed","2019","Massachusetts","25","9,323","NA","37.4"
"HIV prevalence","2019","Massachusetts","25","20,826","350.5","NA"
"AIDS prevalence","2019","Massachusetts","25","11,150","187.7","NA"
"AIDS deaths","2019","Massachusetts","25","224","3.8","NA"
"HIV Stigma","2019","Massachusetts","25","Data not available","Data not available","NA"
"HIV deaths","2019","Massachusetts","25","300","5.0","NA"
"HIV diagnoses","2019","Massachusetts","25","532","9.0","NA"
"Linkage to HIV care","2019","Massachusetts","25","486","NA","90.8"
"Unstable Housing or Homelessness","2019","Massachusetts","25","Data not available","Data not available","NA"
"AIDS deaths","2018","Maine","23","16","1.4","NA"
"AIDS prevalence","2018","Maine","23","805","69.1","NA"
"HIV Stigma","2018","Maine","23","Data not available","Data not available","NA"
"HIV deaths","2018","Maine","23","20","1.7","NA"
"HIV diagnoses","2018","Maine","23","31","2.7","NA"
"Linkage to HIV care","2018","Maine","23","29","NA","96.7"
"PrEP coverage and number of persons prescribed","2018","Maine","23","505","NA","12.8"
"Unstable Housing or Homelessness","2018","Maine","23","Data not available","Data not available","NA"
"Receipt of HIV medical care","2018","Maryland","24","23,521","NA","73.1"
"PrEP coverage and number of persons prescribed","2018","Maryland","24","3,957","NA","14.5"
"HIV prevalence","2018","Maryland","24","33,066","651.2","NA"
"AIDS prevalence","2018","Maryland","24","17,398","342.6","NA"
"AIDS deaths","2018","Maryland","24","503","9.9","NA"
"HIV Stigma","2018","Maryland","24","Data not available","Data not available","NA"
"HIV deaths","2018","Maryland","24","637","12.5","NA"
"HIV diagnoses","2018","Maryland","24","989","19.5","NA"
"Linkage to HIV care","2018","Maryland","24","814","NA","81.7"
"Unstable Housing or Homelessness","2018","Maryland","24","Data not available","Data not available","NA"
"Receipt of HIV medical care","2018","Massachusetts","25","15,816","NA","78.8"
"PrEP coverage and number of persons prescribed","2018","Massachusetts","25","7,639","NA","30.7"
"HIV prevalence","2018","Massachusetts","25","20,551","346.9","NA"
"AIDS prevalence","2018","Massachusetts","25","11,127","187.8","NA"
"AIDS deaths","2018","Massachusetts","25","230","3.9","NA"
"HIV Stigma","2018","Massachusetts","25","Data not available","Data not available","NA"
"HIV deaths","2018","Massachusetts","25","304","5.1","NA"
"HIV diagnoses","2018","Massachusetts","25","642","10.8","NA"
"Linkage to HIV care","2018","Massachusetts","25","562","NA","86.5"
"Unstable Housing or Homelessness","2018","Massachusetts","25","Data not available","Data not available","NA"
"Receipt of HIV medical care","2018","Michigan","26","12,864","NA","84.1"
"PrEP coverage and number of persons prescribed","2018","Michigan","26","3,460","NA","11.7"
"HIV prevalence","2018","Michigan","26","15,943","188.4","NA"
"AIDS prevalence","2018","Michigan","26","8,041","95.0","NA"
"Receipt of HIV medical care","2019","Michigan","26","13,332","NA","83.8"
"PrEP coverage and number of persons prescribed","2019","Michigan","26","4,316","NA","14.6"
"HIV prevalence","2019","Michigan","26","16,535","195.2","NA"
"AIDS prevalence","2019","Michigan","26","8,206","96.9","NA"
"AIDS deaths","2019","Michigan","26","216","2.6","NA"
"HIV Stigma","2019","Michigan","26","No Suppression","34.4 (30.8 - 38.0)","NA"
"HIV deaths","2019","Michigan","26","276","3.3","NA"
"HIV diagnoses","2019","Michigan","26","674","8.0","NA"
"Linkage to HIV care","2019","Michigan","26","565","NA","83.8"
"Unstable Housing or Homelessness","2019","Michigan","26","No Suppression","19.0 (12.5 - 25.6)","NA"
"Receipt of HIV medical care","2019","Minnesota","27","6,708","NA","78.6"
"PrEP coverage and number of persons prescribed","2019","Minnesota","27","4,188","NA","19.3"
"HIV prevalence","2019","Minnesota","27","8,774","186.5","NA"
"AIDS prevalence","2019","Minnesota","27","3,928","83.5","NA"
"AIDS deaths","2019","Minnesota","27","58","1.2","NA"
"HIV Stigma","2019","Minnesota","27","Data not available","Data not available","NA"
"HIV deaths","2019","Minnesota","27","83","1.8","NA"
"HIV diagnoses","2019","Minnesota","27","274","5.8","NA"
"Linkage to HIV care","2019","Minnesota","27","250","NA","91.2"
"Unstable Housing or Homelessness","2019","Minnesota","27","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Mississippi","28","6,830","NA","73.0"
"HIV Stigma","2019","Mississippi","28","No Suppression","29.3 (25.7 - 33.0)","NA"
"HIV diagnoses","2019","Mississippi","28","467","18.8","NA"
"Linkage to HIV care","2019","Mississippi","28","339","NA","71.1"
"PrEP coverage and number of persons prescribed","2019","Mississippi","28","944","NA","20.8"
"Unstable Housing or Homelessness","2019","Mississippi","28","No Suppression","20.4 (11.9 - 28.9)","NA"
"HIV prevalence","2019","Mississippi^","28","9,588","386.7","NA"
"AIDS prevalence","2019","Mississippi^","28","4,643","187.3","NA"
"AIDS deaths","2019","Mississippi^","28","134","5.4","NA"
"HIV deaths","2019","Mississippi^","28","190","7.7","NA"
"AIDS deaths","2018","Michigan","26","241","2.8","NA"
"HIV Stigma","2018","Michigan","26","No Suppression","34.4 (30.6 - 38.1)","NA"
"HIV deaths","2018","Michigan","26","311","3.7","NA"
"HIV diagnoses","2018","Michigan","26","717","8.5","NA"
"Linkage to HIV care","2018","Michigan","26","590","NA","82.4"
"Unstable Housing or Homelessness","2018","Michigan","26","No Suppression","25.0 (18.2 - 31.7)","NA"
"Receipt of HIV medical care","2018","Minnesota","27","6,188","NA","74.8"
"PrEP coverage and number of persons prescribed","2018","Minnesota","27","3,464","NA","15.9"
"HIV prevalence","2018","Minnesota","27","8,512","182.3","NA"
"AIDS prevalence","2018","Minnesota","27","3,867","82.8","NA"
"AIDS deaths","2018","Minnesota","27","66","1.4","NA"
"HIV Stigma","2018","Minnesota","27","Data not available","Data not available","NA"
"HIV deaths","2018","Minnesota","27","85","1.8","NA"
"HIV diagnoses","2018","Minnesota","27","286","6.1","NA"
"Linkage to HIV care","2018","Minnesota","27","234","NA","81.3"
"Unstable Housing or Homelessness","2018","Minnesota","27","Data not available","Data not available","NA"
"Receipt of HIV medical care","2018","Mississippi","28","6,558","NA","72.8"
"HIV Stigma","2018","Mississippi","28","No Suppression","29.9 (24.1 - 35.6)","NA"
"HIV diagnoses","2018","Mississippi","28","474","19.1","NA"
"Linkage to HIV care","2018","Mississippi","28","357","NA","74.8"
"PrEP coverage and number of persons prescribed","2018","Mississippi","28","655","NA","14.5"
"Unstable Housing or Homelessness","2018","Mississippi","28","No Suppression","18.7 (11.7 - 25.7)","NA"
"HIV prevalence","2018","Mississippi^","28","9,314","376.0","NA"
"AIDS prevalence","2018","Mississippi^","28","4,552","183.8","NA"
"AIDS deaths","2018","Mississippi^","28","187","7.5","NA"
"HIV deaths","2018","Mississippi^","28","229","9.2","NA"
"Receipt of HIV medical care","2018","Missouri","29","9,334","NA","76.7"
"PrEP coverage and number of persons prescribed","2018","Missouri","29","2,722","NA","14.8"
"HIV prevalence","2018","Missouri","29","12,475","242.8","NA"
"AIDS prevalence","2018","Missouri","29","6,334","123.3","NA"
"Receipt of HIV medical care","2019","Missouri","29","9,630","NA","78.2"
"PrEP coverage and number of persons prescribed","2019","Missouri","29","3,471","NA","18.9"
"HIV prevalence","2019","Missouri","29","12,697","246.2","NA"
"AIDS prevalence","2019","Missouri","29","6,367","123.5","NA"
"AIDS deaths","2019","Missouri","29","168","3.3","NA"
"HIV Stigma","2019","Missouri","29","Data not available","Data not available","NA"
"HIV deaths","2019","Missouri","29","231","4.5","NA"
"HIV diagnoses","2019","Missouri","29","490","9.5","NA"
"Linkage to HIV care","2019","Missouri","29","376","NA","77.0"
"Unstable Housing or Homelessness","2019","Missouri","29","Data not available","Data not available","NA"
"AIDS deaths","2019","Montana","30","9","1.0","NA"
"AIDS prevalence","2019","Montana","30","333","36.8","NA"
"HIV Stigma","2019","Montana","30","Data not available","Data not available","NA"
"HIV deaths","2019","Montana","30","13","1.4","NA"
"HIV diagnoses","2019","Montana","30","25","2.8","NA"
"HIV prevalence","2019","Montana","30","654","72.2","NA"
"Linkage to HIV care","2019","Montana","30","22","NA","88.0"
"PrEP coverage and number of persons prescribed","2019","Montana","30","267","NA","11.7"
"Receipt of HIV medical care","2019","Montana","30","569","NA","89.2"
"Unstable Housing or Homelessness","2019","Montana","30","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","Nebraska","31","1,652","NA","76.8"
"HIV prevalence","2019","Nebraska","31","2,199","138.4","NA"
"AIDS prevalence","2019","Nebraska","31","1,071","67.4","NA"
"AIDS deaths","2019","Nebraska","31","17","1.1","NA"
"HIV Stigma","2019","Nebraska","31","Data not available","Data not available","NA"
"HIV deaths","2019","Nebraska","31","33","2.1","NA"
"HIV diagnoses","2019","Nebraska","31","80","5.0","NA"
"Linkage to HIV care","2019","Nebraska","31","65","NA","80.2"
"PrEP coverage and number of persons prescribed","2019","Nebraska","31","612","NA","28.1"
"Unstable Housing or Homelessness","2019","Nebraska","31","Data not available","Data not available","NA"
"AIDS deaths","2018","Missouri","29","182","3.5","NA"
"HIV Stigma","2018","Missouri","29","Data not available","Data not available","NA"
"HIV deaths","2018","Missouri","29","238","4.6","NA"
"HIV diagnoses","2018","Missouri","29","450","8.8","NA"
"Linkage to HIV care","2018","Missouri","29","316","NA","70.7"
"Unstable Housing or Homelessness","2018","Missouri","29","Data not available","Data not available","NA"
"AIDS deaths","2018","Montana","30","10","1.1","NA"
"AIDS prevalence","2018","Montana","30","343","38.3","NA"
"HIV Stigma","2018","Montana","30","Data not available","Data not available","NA"
"HIV deaths","2018","Montana","30","13","1.5","NA"
"HIV diagnoses","2018","Montana","30","24","2.7","NA"
"HIV prevalence","2018","Montana","30","633","70.6","NA"
"Linkage to HIV care","2018","Montana","30","21","NA","91.3"
"PrEP coverage and number of persons prescribed","2018","Montana","30","186","NA","8.1"
"Receipt of HIV medical care","2018","Montana","30","560","NA","90.5"
"Unstable Housing or Homelessness","2018","Montana","30","Data not available","Data not available","NA"
"Receipt of HIV medical care","2018","Nebraska","31","1,615","NA","77.1"
"HIV prevalence","2018","Nebraska","31","2,139","135.4","NA"
"AIDS prevalence","2018","Nebraska","31","1,047","66.3","NA"
"AIDS deaths","2018","Nebraska","31","24","1.5","NA"
"HIV Stigma","2018","Nebraska","31","Data not available","Data not available","NA"
"HIV deaths","2018","Nebraska","31","31","2.0","NA"
"HIV diagnoses","2018","Nebraska","31","77","4.9","NA"
"Linkage to HIV care","2018","Nebraska","31","64","NA","81.0"
"PrEP coverage and number of persons prescribed","2018","Nebraska","31","469","NA","21.5"
"Unstable Housing or Homelessness","2018","Nebraska","31","Data not available","Data not available","NA"
"Receipt of HIV medical care","2018","Nevada","32","7,218","NA","74.2"
"PrEP coverage and number of persons prescribed","2018","Nevada","32","1,492","NA","13.1"
"HIV prevalence","2018","Nevada","32","10,023","395.7","NA"
"AIDS prevalence","2018","Nevada","32","4,736","187.0","NA"
"Receipt of HIV medical care","2019","Nevada","32","7,047","NA","68.9"
"PrEP coverage and number of persons prescribed","2019","Nevada","32","2,199","NA","19.3"
"HIV prevalence","2019","Nevada","32","10,594","409.0","NA"
"AIDS prevalence","2019","Nevada","32","4,926","190.2","NA"
"AIDS deaths","2019","Nevada","32","119","4.6","NA"
"HIV Stigma","2019","Nevada","32","Data not available","Data not available","NA"
"HIV deaths","2019","Nevada","32","155","6.0","NA"
"HIV diagnoses","2019","Nevada","32","517","20.0","NA"
"Linkage to HIV care","2019","Nevada","32","425","NA","83.0"
"Unstable Housing or Homelessness","2019","Nevada","32","Data not available","Data not available","NA"
"Receipt of HIV medical care","2019","New Hampshire","33","1,042","NA","81.9"
"HIV prevalence","2019","New Hampshire","33","1,297","109.5","NA"
"AIDS deaths","2019","New Hampshire","33","14","1.2","NA"
"AIDS prevalence","2019","New Hampshire","33","620","52.4","NA"
"HIV Stigma","2019","New Hampshire","33","Data not available","Data not available","NA"
"HIV deaths","2019","New Hampshire","33","18","1.5","NA"
"HIV diagnoses","2019","New Hampshire","33","31","2.6","NA"
"Linkage to HIV care","2019","New Hampshire","33","27","NA","87.1"
"PrEP coverage and number of persons prescribed","2019","New Hampshire","33","616","NA","20.4"
"Unstable Housing or Homelessness","2019","New Hampshire","33","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","New Jersey","34","5,716","NA","22.6"
"HIV prevalence","2019","New Jersey","34","34,556","460.1","NA"
"HIV diagnoses","2019","New Jersey","34","1,076","14.3","NA"
"AIDS prevalence","2019","New Jersey","34","17,540","233.5","NA"
"AIDS deaths","2019","New Jersey","34","475","6.3","NA"
"HIV Stigma","2019","New Jersey","34","No Suppression","31.0 (28.2 - 33.9)","NA"
"HIV deaths","2019","New Jersey","34","627","8.3","NA"
"Linkage to HIV care","2019","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2019","New Jersey","34","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2019","New Jersey","34","No Suppression","14.2 (8.9 - 19.5)","NA"
"AIDS deaths","2018","Nevada","32","135","5.3","NA"
"HIV Stigma","2018","Nevada","32","Data not available","Data not available","NA"
"HIV deaths","2018","Nevada","32","160","6.3","NA"
"HIV diagnoses","2018","Nevada","32","498","19.7","NA"
"Linkage to HIV care","2018","Nevada","32","441","NA","87.7"
"Unstable Housing or Homelessness","2018","Nevada","32","Data not available","Data not available","NA"
"HIV prevalence","2018","New Hampshire","33","1,242","105.5","NA"
"AIDS deaths","2018","New Hampshire","33","15","1.3","NA"
"AIDS prevalence","2018","New Hampshire","33","608","51.7","NA"
"HIV Stigma","2018","New Hampshire","33","Data not available","Data not available","NA"
"HIV deaths","2018","New Hampshire","33","18","1.5","NA"
"HIV diagnoses","2018","New Hampshire","33","38","3.2","NA"
"Linkage to HIV care","2018","New Hampshire","33","37","NA","97.4"
"PrEP coverage and number of persons prescribed","2018","New Hampshire","33","500","NA","16.6"
"Receipt of HIV medical care","2018","New Hampshire","33","986","NA","80.9"
"Unstable Housing or Homelessness","2018","New Hampshire","33","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","New Jersey","34","4,628","NA","18.3"
"HIV prevalence","2018","New Jersey","34","34,180","455.4","NA"
"HIV diagnoses","2018","New Jersey","34","1,003","13.4","NA"
"AIDS prevalence","2018","New Jersey","34","17,601","234.5","NA"
"AIDS deaths","2018","New Jersey","34","472","6.3","NA"
"HIV Stigma","2018","New Jersey","34","No Suppression","30.6 (28.1 - 33.2)","NA"
"HIV deaths","2018","New Jersey","34","637","8.5","NA"
"Linkage to HIV care","2018","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","New Jersey","34","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2018","New Jersey","34","No Suppression","18.2 (12.5 - 23.8)","NA"
"Receipt of HIV medical care","2018","New Mexico","35","2,771","NA","80.0"
"HIV prevalence","2018","New Mexico","35","3,590","205.1","NA"
"AIDS prevalence","2018","New Mexico","35","1,917","109.5","NA"
"Receipt of HIV medical care","2019","New Mexico","35","2,664","NA","74.4"
"PrEP coverage and number of persons prescribed","2019","New Mexico","35","1,077","NA","15.8"
